"name","postal_code","GEOID","status"
"Alabama","AL","01","never"
"Alaska","AK","02","never"
"Arizona","AZ","04","never"
"Arkansas","AR","05","never"
"California","CA","06","never"
"Colorado","CO","08","never"
"Connecticut","CT","09","never"
"Delaware","DE","10","never"
"Florida","FL","12","never"
"Georgia","GA","13","never"
"Hawaii","HI","15","never"
"Idaho","ID","16","never"
"Illinois","IL","17","never"
"Indiana","IN","18","never"
"Iowa","IA","19","never"
"Kansas","KS","20","never"
"Kentucky","KY","21","never"
"Louisiana","LA","22","never"
"Maine","ME","23","never"
"Maryland","MD","24","never"
"Massachusetts","MA","25","never"
"Michigan","MI","26","never"
"Minnesota","MN","27","never"
"Mississippi","MS","28","never"
"Missouri","MO","29","never"
"Montana","MT","30","never"
"Nebraska","NE","31","never"
"Nevada","NV","32","never"
"New Hampshire","NH","33","never"
"New Jersey","NJ","34","never"
"New Mexico","NM","35","never"
"New York","NY","36","never"
"North Carolina","NC","37","never"
"North Dakota","ND","38","never"
"Ohio","OH","39","never"
"Oklahoma","OK","40","never"
"Oregon","OR","41","never"
"Pennsylvania","PA","42","never"
"Rhode Island","RI","44","never"
"South Carolina","SC","45","never"
"South Dakota","SD","46","never"
"Tennessee","TN","47","never"
"Texas","TX","48","never"
"Utah","UT","49","never"
"Vermont","VT","50","never"
"Virginia","VA","51","never"
"Washington","WA","53","never"
"West Virginia","WV","54","never"
"Wisconsin","WI","55","never"
"Wyoming","WY","56","never"
"American Samoa","AS","60","never"
"Guam","GU","66","never"
"Northern Mariana Islands","MP","69","never"
"Puerto Rico","PR","72","never"
"Virgin Islands","VI","78","never"
